"Part";"Value";"Device";"Package";"Library";"Description";"Side";"InchX";"InchY";"mmX";"mmY";"Angle";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ARDUINO_NANO1";"";"ARDUINO_NANO";"ARDUINO_NANO";"ArduinoNanoV30";"Arduino Nano V3.0 Module";"CS";"    1.0250";"    1.3000";"   26.0350";"   33.0200";"  90.00";"";"";"";"";
"C1";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    0.9250";"    2.1500";"   23.4950";"   54.6100";" 270.00";"";"";"";"";
"C3";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    1.1500";"    1.9500";"   29.2100";"   49.5300";" 180.00";"";"";"";"";
"C4";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    1.4750";"    1.8750";"   37.4650";"   47.6250";" 270.00";"";"";"";"";
"C5";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    0.1500";"    1.5000";"    3.8100";"   38.1000";" 180.00";"";"";"";"";
"C6";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    0.3750";"    1.3000";"    9.5250";"   33.0200";"   0.00";"";"";"";"";
"C7";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    0.9000";"    1.9500";"   22.8600";"   49.5300";"   0.00";"";"";"";"";
"C8";"100n";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    0.5750";"    1.9250";"   14.6050";"   48.8950";" 270.00";"";"";"";"";
"C9";"10µF";"CPOL-EUE2.5-6";"E2,5-6";"rcl";"POLARIZED CAPACITOR, European symbol";"CS";"    1.1250";"    2.2000";"   28.5750";"   55.8800";"   0.00";"";"";"";"";
"C10";"2n2";"C-EU025-030X050";"C025-030X050";"rcl";"CAPACITOR, European symbol";"CS";"    0.3750";"    0.6500";"    9.5250";"   16.5100";"  90.00";"";"";"";"";
